0,0.3747
1,0.5085
2,0.541
3,0.6271
4,0.667
5,0.5987
6,0.617
7,0.657
8,0.7039
9,0.6636
10,0.7211
11,0.7089
12,0.7175
13,0.7217
14,0.7034
15,0.7248
16,0.7425
17,0.7171
18,0.7447
19,0.7506
20,0.7556
21,0.7487
22,0.751
23,0.7413
24,0.7646
25,0.7752
26,0.7627
27,0.7547
28,0.7726
29,0.7357
30,0.7471
31,0.7684
32,0.7643
33,0.7715
34,0.7695
35,0.7627
36,0.7786
37,0.7712
38,0.764
39,0.7781
40,0.7848
41,0.7727
42,0.7738
43,0.7783
44,0.7807
45,0.7707
46,0.7813
47,0.7815
48,0.7621
49,0.7804
50,0.7721
51,0.7836
52,0.7887
53,0.7809
54,0.7848
55,0.78
56,0.7811
57,0.7829
58,0.7777
59,0.7867
60,0.7762
61,0.7861
62,0.7881
63,0.7876
64,0.7888
65,0.785
66,0.7922
67,0.7858
68,0.7825
69,0.7831
70,0.7942
71,0.7935
72,0.7762
73,0.7853
74,0.7928
75,0.7914
76,0.7924
77,0.7826
78,0.7939
79,0.7798
80,0.7906
81,0.7861
82,0.7862
83,0.7955
84,0.7893
85,0.7945
86,0.7964
87,0.7872
88,0.7851
89,0.7981
90,0.7983
91,0.7856
92,0.7927
93,0.795
94,0.7842
95,0.7913
96,0.7972
97,0.7901
98,0.7963
99,0.7894
